,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
111,"MEDICINE, GENERAL & INTERNAL",18,37,69,31,0.5,2012
112,"MEDICINE, RESEARCH & EXPERIMENTAL",7,27,58,42,0.3,2012
113,METALLURGY & METALLURGICAL ENGINEERING,14,22,86,14,0.6,2012
114,METEOROLOGY & ATMOSPHERIC SCIENCES,10,19,68,32,0.5,2012
115,MICROBIOLOGY,12,32,69,31,0.4,2012
116,MINERALOGY,2,2,100,0,1.0,2012
117,MINING & MINERAL PROCESSING,3,3,100,0,1.0,2012
118,MULTIDISCIPLINARY SCIENCES,25,57,70,30,0.4,2012
119,MYCOLOGY,1,6,83,17,0.2,2012
120,NANOSCIENCE & NANOTECHNOLOGY,7,22,67,33,0.3,2012
121,NEUROIMAGING,1,1,0,100,1.0,2012
122,NEUROSCIENCES,8,18,67,33,0.4,2012
123,NURSING,3,6,17,83,0.5,2012
124,NUTRITION & DIETETICS,10,31,39,61,0.3,2012
125,OBSTETRICS & GYNECOLOGY,6,10,70,30,0.6,2012
126,OCEANOGRAPHY,62,128,64,36,0.5,2012
127,ONCOLOGY,4,13,69,31,0.3,2012
128,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,8,10,80,20,0.8,2012
129,OPTICS,34,54,91,9,0.6,2012
130,ORNITHOLOGY,1,2,100,0,0.5,2012
131,PALEONTOLOGY,2,2,100,0,1.0,2012
132,PARASITOLOGY,4,4,100,0,1.0,2012
133,PATHOLOGY,4,12,33,67,0.3,2012
134,PEDIATRICS,6,19,41,59,0.3,2012
135,PERIPHERAL VASCULAR DISEASE,4,6,100,0,0.7,2012
136,PHARMACOLOGY & PHARMACY,32,74,53,47,0.4,2012
137,PHILOSOPHY,1,1,100,0,1.0,2012
138,"PHYSICS, APPLIED",19,33,84,16,0.6,2012
139,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",14,25,88,13,0.6,2012
140,"PHYSICS, CONDENSED MATTER",5,7,86,14,0.7,2012
141,"PHYSICS, FLUIDS & PLASMAS",7,6,100,0,1.2,2012
142,"PHYSICS, MATHEMATICAL",15,24,88,13,0.6,2012
143,"PHYSICS, MULTIDISCIPLINARY",10,19,89,11,0.5,2012
144,"PHYSICS, NUCLEAR",1,2,50,50,0.5,2012
145,"PHYSICS, PARTICLES & FIELDS",11,15,87,13,0.7,2012
146,PHYSIOLOGY,6,18,61,39,0.3,2012
147,PLANNING & DEVELOPMENT,1,2,0,100,0.5,2012
148,PLANT SCIENCES,69,135,61,39,0.5,2012
149,POLITICAL SCIENCE,6,6,50,50,1.0,2012
150,POLYMER SCIENCE,12,18,53,47,0.7,2012
151,PSYCHIATRY,4,7,86,14,0.6,2012
152,PSYCHOLOGY,20,40,56,44,0.5,2012
153,"PSYCHOLOGY, APPLIED",2,2,50,50,1.0,2012
154,"PSYCHOLOGY, CLINICAL",7,20,50,50,0.4,2012
155,"PSYCHOLOGY, DEVELOPMENTAL",1,6,83,17,0.2,2012
156,"PSYCHOLOGY, MULTIDISCIPLINARY",8,13,58,42,0.6,2012
157,"PSYCHOLOGY, SOCIAL",2,2,100,0,1.0,2012
158,PUBLIC ADMINISTRATION,4,5,40,60,0.8,2012
159,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",10,13,69,31,0.8,2012
160,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",4,7,71,29,0.6,2012
161,RELIGION,1,1,100,0,1.0,2012
162,REMOTE SENSING,6,15,86,14,0.4,2012
163,REPRODUCTIVE BIOLOGY,7,22,62,38,0.3,2012
164,ROBOTICS,1,1,0,100,1.0,2012
165,"SOCIAL SCIENCES, INTERDISCIPLINARY",1,1,100,0,1.0,2012
166,"SOCIAL SCIENCES, MATHEMATICAL METHODS",2,2,100,0,1.0,2012
167,SOCIOLOGY,2,1,100,0,2.0,2012
168,SOIL SCIENCE,14,33,55,45,0.4,2012
169,SPECTROSCOPY,1,1,100,0,1.0,2012
170,STATISTICS & PROBABILITY,13,12,73,27,1.1,2012
171,SUBSTANCE ABUSE,2,3,67,33,0.7,2012
172,SURGERY,10,29,71,29,0.3,2012
173,TELECOMMUNICATIONS,1,2,50,50,0.5,2012
174,THERMODYNAMICS,8,10,78,22,0.8,2012
175,TOXICOLOGY,5,19,53,47,0.3,2012
176,TRANSPORTATION,2,2,100,0,1.0,2012
177,TRANSPORTATION SCIENCE & TECHNOLOGY,1,1,100,0,1.0,2012
178,URBAN STUDIES,4,3,67,33,1.3,2012
179,UROLOGY & NEPHROLOGY,1,1,0,0,1.0,2012
180,VETERINARY SCIENCES,18,45,64,36,0.4,2012
181,VIROLOGY,1,3,67,33,0.3,2012
182,WATER RESOURCES,18,37,73,27,0.5,2012
183,ZOOLOGY,29,60,63,37,0.5,2012
0,ACOUSTICS,1,1,100,0,1.0,2013
1,AGRICULTURAL ECONOMICS & POLICY,3,4,100,0,0.8,2013
2,AGRICULTURAL ENGINEERING,7,17,71,29,0.4,2013
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",5,5,80,20,1.0,2013
4,"AGRICULTURE, MULTIDISCIPLINARY",37,98,77,23,0.4,2013
5,AGRONOMY,33,84,72,28,0.4,2013
6,ALLERGY,1,6,80,20,0.2,2013
7,ANATOMY & MORPHOLOGY,8,10,90,10,0.8,2013
8,ANTHROPOLOGY,2,5,100,0,0.4,2013
9,ARCHITECTURE,12,16,81,19,0.8,2013
10,ASTRONOMY & ASTROPHYSICS,114,75,76,24,1.5,2013
11,AUTOMATION & CONTROL SYSTEMS,42,32,97,3,1.3,2013
12,BIOCHEMICAL RESEARCH METHODS,5,15,54,46,0.3,2013
13,BIOCHEMISTRY & MOLECULAR BIOLOGY,43,112,65,35,0.4,2013
14,BIODIVERSITY CONSERVATION,17,38,62,38,0.4,2013
15,BIOLOGY,10,26,60,40,0.4,2013
16,BIOPHYSICS,8,14,79,21,0.6,2013
17,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,13,23,86,14,0.6,2013
18,BUSINESS,3,3,67,33,1.0,2013
19,"BUSINESS, FINANCE",1,1,100,0,1.0,2013
20,CELL BIOLOGY,17,50,55,45,0.3,2013
21,CHEMISTRY,114,203,67,33,0.6,2013
22,"CHEMISTRY, ANALYTICAL",7,24,58,42,0.3,2013
23,"CHEMISTRY, APPLIED",13,19,61,39,0.7,2013
24,"CHEMISTRY, INORGANIC & NUCLEAR",7,9,67,33,0.8,2013
25,"CHEMISTRY, MEDICINAL",19,49,65,35,0.4,2013
26,"CHEMISTRY, MULTIDISCIPLINARY",51,116,67,33,0.4,2013
27,"CHEMISTRY, ORGANIC",16,29,69,31,0.6,2013
28,"CHEMISTRY, PHYSICAL",28,58,74,26,0.5,2013
29,CLINICAL NEUROLOGY,3,3,50,50,1.0,2013
30,COMMUNICATION,1,1,100,0,1.0,2013
31,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14,20,75,25,0.7,2013
32,"COMPUTER SCIENCE, CYBERNETICS",1,1,100,0,1.0,2013
33,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3,3,100,0,1.0,2013
34,"COMPUTER SCIENCE, INFORMATION SYSTEMS",14,18,78,22,0.8,2013
35,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",20,39,87,13,0.5,2013
36,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1,2,100,0,0.5,2013
37,"COMPUTER SCIENCE, THEORY & METHODS",11,14,86,14,0.8,2013
38,CONSTRUCTION & BUILDING TECHNOLOGY,6,13,90,10,0.5,2013
39,CRITICAL CARE MEDICINE,2,2,0,100,1.0,2013
40,CRYSTALLOGRAPHY,6,19,63,37,0.3,2013
41,"DENTISTRY, ORAL SURGERY & MEDICINE",7,17,41,59,0.4,2013
42,DEVELOPMENTAL BIOLOGY,8,26,58,42,0.3,2013
43,ECOLOGY,53,99,68,32,0.5,2013
44,ECONOMICS,18,17,88,13,1.1,2013
45,EDUCATION & EDUCATIONAL RESEARCH,10,13,50,50,0.8,2013
46,"EDUCATION, SCIENTIFIC DISCIPLINES",3,3,33,67,1.0,2013
47,ELECTROCHEMISTRY,4,11,82,18,0.4,2013
48,ENDOCRINOLOGY & METABOLISM,17,38,59,41,0.4,2013
49,ENERGY & FUELS,10,16,94,6,0.6,2013
50,"ENGINEERING, BIOMEDICAL",11,24,67,33,0.5,2013
51,"ENGINEERING, CHEMICAL",35,58,81,19,0.6,2013
52,"ENGINEERING, CIVIL",20,40,89,11,0.5,2013
53,"ENGINEERING, ELECTRICAL & ELECTRONIC",79,90,91,9,0.9,2013
54,"ENGINEERING, ENVIRONMENTAL",16,47,65,35,0.3,2013
55,"ENGINEERING, GEOLOGICAL",2,5,100,0,0.4,2013
56,"ENGINEERING, INDUSTRIAL",27,30,96,4,0.9,2013
57,"ENGINEERING, MANUFACTURING",2,3,67,33,0.7,2013
58,"ENGINEERING, MECHANICAL",10,18,94,6,0.6,2013
59,"ENGINEERING, MULTIDISCIPLINARY",17,37,80,20,0.5,2013
60,"ENGINEERING, OCEAN",1,1,100,0,1.0,2013
61,ENTOMOLOGY,14,21,62,38,0.7,2013
62,ENVIRONMENTAL SCIENCES,47,108,65,35,0.4,2013
63,ENVIRONMENTAL STUDIES,6,15,64,36,0.4,2013
64,EVOLUTIONARY BIOLOGY,15,27,78,22,0.6,2013
65,FISHERIES,25,39,68,32,0.6,2013
66,FOOD SCIENCE & TECHNOLOGY,34,68,60,40,0.5,2013
67,FORESTRY,30,57,71,29,0.5,2013
68,GASTROENTEROLOGY & HEPATOLOGY,4,9,88,13,0.4,2013
69,GENETICS & HEREDITY,14,32,68,32,0.4,2013
70,GEOCHEMISTRY & GEOPHYSICS,7,9,78,22,0.8,2013
71,GEOGRAPHY,6,9,78,22,0.7,2013
72,"GEOGRAPHY, PHYSICAL",7,15,73,27,0.5,2013
73,GEOLOGY,25,53,79,21,0.5,2013
74,"GEOSCIENCES, MULTIDISCIPLINARY",19,43,77,23,0.4,2013
75,GERIATRICS & GERONTOLOGY,2,11,73,27,0.2,2013
76,HEALTH CARE SCIENCES & SERVICES,4,4,75,25,1.0,2013
77,HEALTH POLICY & SERVICES,1,1,100,0,1.0,2013
78,HEMATOLOGY,4,10,90,10,0.4,2013
79,HISTORY,2,3,100,0,0.7,2013
80,HISTORY & PHILOSOPHY OF SCIENCE,2,7,86,14,0.3,2013
81,HISTORY OF SOCIAL SCIENCES,1,1,0,100,1.0,2013
82,HORTICULTURE,15,36,71,29,0.4,2013
83,"HUMANITIES, MULTIDISCIPLINARY",11,11,91,9,1.0,2013
84,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,2,2,100,0,1.0,2013
85,IMMUNOLOGY,18,35,61,39,0.5,2013
86,INFECTIOUS DISEASES,6,14,36,64,0.4,2013
87,INFORMATION SCIENCE & LIBRARY SCIENCE,1,1,100,0,1.0,2013
88,INSTRUMENTS & INSTRUMENTATION,10,11,100,0,0.9,2013
89,INTEGRATIVE & COMPLEMENTARY MEDICINE,14,41,69,31,0.3,2013
90,INTERNATIONAL RELATIONS,1,1,100,0,1.0,2013
91,LANGUAGE & LINGUISTICS,10,16,44,56,0.6,2013
92,LIMNOLOGY,5,18,67,33,0.3,2013
93,LINGUISTICS,10,16,44,56,0.6,2013
94,LITERATURE,12,12,67,33,1.0,2013
95,"LITERATURE, ROMANCE",12,12,67,33,1.0,2013
96,MANAGEMENT,3,3,100,0,1.0,2013
97,MARINE & FRESHWATER BIOLOGY,77,148,65,35,0.5,2013
98,"MATERIALS SCIENCE, CERAMICS",1,3,67,33,0.3,2013
99,"MATERIALS SCIENCE, COMPOSITES",1,6,80,20,0.2,2013
100,"MATERIALS SCIENCE, MULTIDISCIPLINARY",14,19,84,16,0.7,2013
101,"MATERIALS SCIENCE, PAPER & WOOD",16,39,56,44,0.4,2013
102,"MATERIALS SCIENCE, TEXTILES",2,5,40,60,0.4,2013
103,MATHEMATICAL & COMPUTATIONAL BIOLOGY,4,10,80,20,0.4,2013
104,MATHEMATICS,69,49,85,15,1.4,2013
105,"MATHEMATICS, APPLIED",37,29,93,7,1.3,2013
106,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",8,9,78,22,0.9,2013
107,MECHANICS,9,17,88,13,0.5,2013
108,MEDICAL INFORMATICS,2,3,67,33,0.7,2013
109,MEDICAL LABORATORY TECHNOLOGY,1,1,100,0,1.0,2013
110,"MEDICINE, GENERAL & INTERNAL",23,55,56,44,0.4,2013
111,"MEDICINE, RESEARCH & EXPERIMENTAL",11,22,70,30,0.5,2013
112,METALLURGY & METALLURGICAL ENGINEERING,4,13,85,15,0.3,2013
113,METEOROLOGY & ATMOSPHERIC SCIENCES,10,18,94,6,0.6,2013
114,MICROBIOLOGY,9,18,76,24,0.5,2013
115,MICROSCOPY,2,12,50,50,0.2,2013
116,MINERALOGY,4,10,90,10,0.4,2013
117,MINING & MINERAL PROCESSING,2,4,100,0,0.5,2013
118,MULTIDISCIPLINARY SCIENCES,29,71,70,30,0.4,2013
119,MUSIC,1,1,100,0,1.0,2013
120,MYCOLOGY,2,5,60,40,0.4,2013
121,NANOSCIENCE & NANOTECHNOLOGY,5,11,55,45,0.5,2013
122,NEUROSCIENCES,21,70,51,49,0.3,2013
123,NUCLEAR SCIENCE & TECHNOLOGY,6,4,100,0,1.5,2013
124,NURSING,1,1,0,100,1.0,2013
125,NUTRITION & DIETETICS,15,26,36,64,0.6,2013
126,OBSTETRICS & GYNECOLOGY,1,1,100,0,1.0,2013
127,OCEANOGRAPHY,41,82,71,29,0.5,2013
128,ONCOLOGY,5,17,65,35,0.3,2013
129,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,13,13,92,8,1.0,2013
130,OPTICS,15,29,89,11,0.5,2013
131,ORNITHOLOGY,2,1,100,0,2.0,2013
132,ORTHOPEDICS,2,5,80,20,0.4,2013
133,OTORHINOLARYNGOLOGY,1,1,0,100,1.0,2013
134,PALEONTOLOGY,6,10,50,50,0.6,2013
135,PARASITOLOGY,2,2,100,0,1.0,2013
136,PATHOLOGY,2,1,0,0,2.0,2013
137,PEDIATRICS,2,4,25,75,0.5,2013
138,PERIPHERAL VASCULAR DISEASE,3,8,100,0,0.4,2013
139,PHARMACOLOGY & PHARMACY,33,89,61,39,0.4,2013
140,PHILOSOPHY,3,3,100,0,1.0,2013
141,"PHYSICS, APPLIED",11,25,91,9,0.4,2013
142,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",12,16,88,13,0.8,2013
143,"PHYSICS, CONDENSED MATTER",4,7,83,17,0.6,2013
144,"PHYSICS, FLUIDS & PLASMAS",2,2,100,0,1.0,2013
145,"PHYSICS, MATHEMATICAL",11,11,100,0,1.0,2013
146,"PHYSICS, MULTIDISCIPLINARY",15,19,100,0,0.8,2013
147,"PHYSICS, NUCLEAR",7,7,86,14,1.0,2013
148,"PHYSICS, PARTICLES & FIELDS",18,22,86,14,0.8,2013
149,PHYSIOLOGY,7,11,45,55,0.6,2013
150,PLANT SCIENCES,73,124,66,34,0.6,2013
151,POLITICAL SCIENCE,1,3,67,33,0.3,2013
152,POLYMER SCIENCE,10,19,56,44,0.5,2013
153,PSYCHIATRY,8,10,60,40,0.8,2013
154,PSYCHOLOGY,19,26,73,27,0.7,2013
155,"PSYCHOLOGY, CLINICAL",6,14,50,50,0.4,2013
156,"PSYCHOLOGY, EXPERIMENTAL",1,1,100,0,1.0,2013
157,"PSYCHOLOGY, MATHEMATICAL",1,1,100,0,1.0,2013
158,"PSYCHOLOGY, MULTIDISCIPLINARY",9,12,92,8,0.8,2013
159,"PSYCHOLOGY, SOCIAL",2,2,100,0,1.0,2013
160,PUBLIC ADMINISTRATION,1,3,67,33,0.3,2013
161,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4,13,38,62,0.3,2013
162,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",7,3,100,0,2.3,2013
163,REHABILITATION,2,5,80,20,0.4,2013
164,RELIGION,2,2,100,0,1.0,2013
165,REMOTE SENSING,4,4,50,50,1.0,2013
166,REPRODUCTIVE BIOLOGY,3,6,83,17,0.5,2013
167,RESPIRATORY SYSTEM,3,6,40,60,0.5,2013
168,"SOCIAL SCIENCES, INTERDISCIPLINARY",3,3,67,33,1.0,2013
169,"SOCIAL SCIENCES, MATHEMATICAL METHODS",2,3,67,33,0.7,2013
170,SOCIOLOGY,3,4,75,25,0.8,2013
171,SOIL SCIENCE,8,13,45,55,0.6,2013
172,SPECTROSCOPY,3,7,86,14,0.4,2013
173,STATISTICS & PROBABILITY,10,7,86,14,1.4,2013
174,SUBSTANCE ABUSE,1,4,50,50,0.3,2013
175,SURGERY,11,15,71,29,0.7,2013
176,TELECOMMUNICATIONS,4,7,100,0,0.6,2013
177,THERMODYNAMICS,9,17,88,12,0.5,2013
178,TOXICOLOGY,8,21,75,25,0.4,2013
179,TRANSPORTATION,4,4,100,0,1.0,2013
180,TRANSPORTATION SCIENCE & TECHNOLOGY,2,4,100,0,0.5,2013
181,URBAN STUDIES,2,4,75,25,0.5,2013
182,VETERINARY SCIENCES,16,27,65,35,0.6,2013
183,VIROLOGY,1,1,100,0,1.0,2013
184,WATER RESOURCES,19,46,80,20,0.4,2013
185,WOMEN'S STUDIES,1,1,100,0,1.0,2013
186,ZOOLOGY,23,53,67,33,0.4,2013
0,ACOUSTICS,6,14,93,7,0.4,2014
1,AGRICULTURAL ECONOMICS & POLICY,2,6,100,0,0.3,2014
2,AGRICULTURAL ENGINEERING,5,15,47,53,0.3,2014
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3,15,71,29,0.2,2014
4,"AGRICULTURE, MULTIDISCIPLINARY",23,54,64,36,0.4,2014
5,AGRONOMY,32,73,76,24,0.4,2014
6,ANATOMY & MORPHOLOGY,18,29,63,37,0.6,2014
7,ANESTHESIOLOGY,1,1,100,0,1.0,2014
8,ANTHROPOLOGY,2,3,67,33,0.7,2014
9,ARCHAEOLOGY,1,1,100,0,1.0,2014
10,ARCHITECTURE,6,10,90,10,0.6,2014
11,ASTRONOMY & ASTROPHYSICS,117,71,84,16,1.6,2014
12,AUTOMATION & CONTROL SYSTEMS,24,31,97,3,0.8,2014
13,BEHAVIORAL SCIENCES,1,2,100,0,0.5,2014
14,BIOCHEMICAL RESEARCH METHODS,3,6,50,50,0.5,2014
15,BIOCHEMISTRY & MOLECULAR BIOLOGY,48,129,66,34,0.4,2014
16,BIODIVERSITY CONSERVATION,17,28,67,33,0.6,2014
17,BIOLOGY,10,29,68,32,0.3,2014
18,BIOPHYSICS,10,26,77,23,0.4,2014
19,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,20,53,65,35,0.4,2014
20,BUSINESS,7,13,100,0,0.5,2014
21,"BUSINESS, FINANCE",1,1,100,0,1.0,2014
22,CARDIAC & CARDIOVASCULAR SYSTEMS,2,3,67,33,0.7,2014
23,CELL BIOLOGY,13,30,60,40,0.4,2014
24,CHEMISTRY,126,244,64,36,0.5,2014
25,"CHEMISTRY, ANALYTICAL",8,18,67,33,0.4,2014
26,"CHEMISTRY, APPLIED",21,65,53,47,0.3,2014
27,"CHEMISTRY, INORGANIC & NUCLEAR",9,21,71,29,0.4,2014
28,"CHEMISTRY, MEDICINAL",13,31,63,37,0.4,2014
29,"CHEMISTRY, MULTIDISCIPLINARY",44,114,65,35,0.4,2014
30,"CHEMISTRY, ORGANIC",10,25,65,35,0.4,2014
31,"CHEMISTRY, PHYSICAL",46,79,64,36,0.6,2014
32,CLASSICS,1,1,100,0,1.0,2014
33,CLINICAL NEUROLOGY,4,7,67,33,0.6,2014
34,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",19,29,83,17,0.7,2014
35,"COMPUTER SCIENCE, CYBERNETICS",1,1,100,0,1.0,2014
36,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2,3,67,33,0.7,2014
37,"COMPUTER SCIENCE, INFORMATION SYSTEMS",17,21,72,28,0.8,2014
38,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",16,37,97,3,0.4,2014
39,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",8,12,83,17,0.7,2014
40,"COMPUTER SCIENCE, THEORY & METHODS",26,41,73,27,0.6,2014
41,CONSTRUCTION & BUILDING TECHNOLOGY,17,22,81,19,0.8,2014
42,CRYSTALLOGRAPHY,3,8,50,50,0.4,2014
43,"DENTISTRY, ORAL SURGERY & MEDICINE",5,17,59,41,0.3,2014
44,DEVELOPMENTAL BIOLOGY,6,15,87,13,0.4,2014
45,ECOLOGY,53,79,65,35,0.7,2014
46,ECONOMICS,20,30,86,14,0.7,2014
47,EDUCATION & EDUCATIONAL RESEARCH,9,12,67,33,0.8,2014
48,"EDUCATION, SCIENTIFIC DISCIPLINES",3,5,80,20,0.6,2014
49,ELECTROCHEMISTRY,8,13,77,23,0.6,2014
50,ENDOCRINOLOGY & METABOLISM,15,43,50,50,0.3,2014
51,ENERGY & FUELS,11,15,87,13,0.7,2014
52,"ENGINEERING, BIOMEDICAL",7,17,82,18,0.4,2014
53,"ENGINEERING, CHEMICAL",37,62,72,28,0.6,2014
54,"ENGINEERING, CIVIL",28,44,86,14,0.6,2014
55,"ENGINEERING, ELECTRICAL & ELECTRONIC",74,84,89,11,0.9,2014
56,"ENGINEERING, ENVIRONMENTAL",18,39,68,32,0.5,2014
57,"ENGINEERING, GEOLOGICAL",2,2,100,0,1.0,2014
58,"ENGINEERING, INDUSTRIAL",15,27,96,4,0.6,2014
59,"ENGINEERING, MANUFACTURING",1,2,100,0,0.5,2014
60,"ENGINEERING, MARINE",1,1,100,0,1.0,2014
61,"ENGINEERING, MECHANICAL",13,25,84,16,0.5,2014
62,"ENGINEERING, MULTIDISCIPLINARY",17,33,91,9,0.5,2014
63,"ENGINEERING, OCEAN",1,2,100,0,0.5,2014
64,ENTOMOLOGY,18,25,72,28,0.7,2014
65,ENVIRONMENTAL SCIENCES,49,108,70,30,0.5,2014
66,ENVIRONMENTAL STUDIES,9,20,89,11,0.5,2014
67,ETHICS,2,3,67,33,0.7,2014
68,EVOLUTIONARY BIOLOGY,5,6,67,33,0.8,2014
69,FAMILY STUDIES,1,3,33,67,0.3,2014
70,FISHERIES,36,62,61,39,0.6,2014
71,FOOD SCIENCE & TECHNOLOGY,38,91,61,39,0.4,2014
72,FORESTRY,35,75,73,27,0.5,2014
73,GASTROENTEROLOGY & HEPATOLOGY,3,5,40,60,0.6,2014
74,GENETICS & HEREDITY,22,45,73,27,0.5,2014
75,GEOCHEMISTRY & GEOPHYSICS,14,29,86,14,0.5,2014
76,GEOGRAPHY,8,18,59,41,0.4,2014
77,"GEOGRAPHY, PHYSICAL",17,28,54,46,0.6,2014
78,GEOLOGY,38,51,82,18,0.7,2014
79,"GEOSCIENCES, MULTIDISCIPLINARY",34,49,83,17,0.7,2014
80,GERIATRICS & GERONTOLOGY,4,12,75,25,0.3,2014
81,HEALTH CARE SCIENCES & SERVICES,2,2,50,50,1.0,2014
82,HEALTH POLICY & SERVICES,1,1,0,100,1.0,2014
83,HEMATOLOGY,6,10,78,22,0.6,2014
84,HISTORY,2,2,100,0,1.0,2014
85,HISTORY & PHILOSOPHY OF SCIENCE,1,1,100,0,1.0,2014
86,HORTICULTURE,31,62,75,25,0.5,2014
87,"HUMANITIES, MULTIDISCIPLINARY",14,12,92,8,1.2,2014
88,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,4,9,89,11,0.4,2014
89,IMMUNOLOGY,12,31,62,38,0.4,2014
90,INFECTIOUS DISEASES,14,36,57,43,0.4,2014
91,INFORMATION SCIENCE & LIBRARY SCIENCE,3,3,67,33,1.0,2014
92,INSTRUMENTS & INSTRUMENTATION,11,30,90,10,0.4,2014
93,INTEGRATIVE & COMPLEMENTARY MEDICINE,10,25,71,29,0.4,2014
94,INTERNATIONAL RELATIONS,2,2,100,0,1.0,2014
95,LANGUAGE & LINGUISTICS,15,24,42,58,0.6,2014
96,LAW,2,2,100,0,1.0,2014
97,LIMNOLOGY,3,11,60,40,0.3,2014
98,LINGUISTICS,15,24,42,58,0.6,2014
99,LITERATURE,16,17,53,47,0.9,2014
100,"LITERATURE, ROMANCE",16,17,53,47,0.9,2014
101,LOGIC,1,2,100,0,0.5,2014
102,MANAGEMENT,7,8,88,13,0.9,2014
103,MARINE & FRESHWATER BIOLOGY,72,127,68,32,0.6,2014
104,"MATERIALS SCIENCE, BIOMATERIALS",5,7,86,14,0.7,2014
105,"MATERIALS SCIENCE, CERAMICS",3,6,67,33,0.5,2014
106,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1,1,100,0,1.0,2014
107,"MATERIALS SCIENCE, COATINGS & FILMS",1,1,100,0,1.0,2014
108,"MATERIALS SCIENCE, COMPOSITES",2,7,86,14,0.3,2014
109,"MATERIALS SCIENCE, MULTIDISCIPLINARY",28,49,75,25,0.6,2014
110,"MATERIALS SCIENCE, PAPER & WOOD",9,17,65,35,0.5,2014
111,"MATERIALS SCIENCE, TEXTILES",1,1,0,100,1.0,2014
112,MATHEMATICAL & COMPUTATIONAL BIOLOGY,4,7,86,14,0.6,2014
113,MATHEMATICS,81,71,91,9,1.1,2014
114,"MATHEMATICS, APPLIED",54,48,96,4,1.1,2014
115,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4,7,100,0,0.6,2014
116,MECHANICS,7,11,100,0,0.6,2014
117,MEDICAL ETHICS,2,3,67,33,0.7,2014
118,MEDICAL LABORATORY TECHNOLOGY,1,1,0,100,1.0,2014
119,"MEDICINE, GENERAL & INTERNAL",25,58,47,53,0.4,2014
120,"MEDICINE, LEGAL",1,4,50,50,0.3,2014
121,"MEDICINE, RESEARCH & EXPERIMENTAL",6,31,55,45,0.2,2014
122,MEDIEVAL & RENAISSANCE STUDIES,1,1,100,0,1.0,2014
123,METALLURGY & METALLURGICAL ENGINEERING,7,17,76,24,0.4,2014
124,METEOROLOGY & ATMOSPHERIC SCIENCES,4,6,50,50,0.7,2014
125,MICROBIOLOGY,20,44,62,38,0.5,2014
126,MINERALOGY,8,10,90,10,0.8,2014
127,MINING & MINERAL PROCESSING,9,12,92,8,0.8,2014
128,MULTIDISCIPLINARY SCIENCES,36,87,69,31,0.4,2014
129,MUSIC,1,1,100,0,1.0,2014
130,NANOSCIENCE & NANOTECHNOLOGY,7,15,67,33,0.5,2014
131,NEUROIMAGING,1,1,0,100,1.0,2014
132,NEUROSCIENCES,15,53,62,38,0.3,2014
133,NUCLEAR SCIENCE & TECHNOLOGY,3,2,100,0,1.5,2014
134,NURSING,1,2,0,100,0.5,2014
135,NUTRITION & DIETETICS,14,48,67,33,0.3,2014
136,OBSTETRICS & GYNECOLOGY,6,10,90,10,0.6,2014
137,OCEANOGRAPHY,46,86,56,44,0.5,2014
138,ONCOLOGY,4,4,100,0,1.0,2014
139,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,11,10,90,10,1.1,2014
140,OPHTHALMOLOGY,1,3,33,67,0.3,2014
141,OPTICS,23,44,89,11,0.5,2014
142,ORNITHOLOGY,1,1,100,0,1.0,2014
143,ORTHOPEDICS,5,3,33,67,1.7,2014
144,OTORHINOLARYNGOLOGY,1,4,50,50,0.3,2014
145,PALEONTOLOGY,2,2,100,0,1.0,2014
146,PARASITOLOGY,4,7,67,33,0.6,2014
147,PATHOLOGY,4,10,70,30,0.4,2014
148,PEDIATRICS,7,12,58,42,0.6,2014
149,PERIPHERAL VASCULAR DISEASE,4,9,88,13,0.4,2014
150,PHARMACOLOGY & PHARMACY,37,80,67,33,0.5,2014
151,PHILOSOPHY,4,3,100,0,1.3,2014
